Age,Gender,Service_Quality,Product_Quality,Support_Quality,Waiting_Time,Value_for_Money,Ease_of_Use,Purchase_Frequency,Recommendation,Complaint_Resolution,Customer_Satisfaction
22,Female,2,2,3,5,5,2,6,3,3,Not Satisfied
39,Male,2,2,5,3,2,3,4,2,3,Not Satisfied
46,Female,1,3,2,2,1,4,8,2,1,Not Satisfied
20,Female,5,1,3,1,3,3,3,2,1,Satisfied
29,Male,2,1,2,4,4,5,4,2,1,Satisfied
43,Female,1,4,1,3,2,4,6,3,1,Not Satisfied
33,Male,2,3,3,2,3,3,7,1,5,Not Satisfied
54,Male,3,4,2,4,3,1,4,5,2,Not Satisfied
39,Female,5,3,2,4,4,2,4,1,5,Satisfied
46,Male,4,5,2,5,3,3,7,1,3,Satisfied
31,Female,2,2,3,4,1,3,6,5,5,Not Satisfied
45,Female,3,5,4,2,1,1,8,2,4,Not Satisfied
22,Male,4,3,3,2,1,5,1,3,1,Not Satisfied
64,Male,4,2,5,3,3,2,10,3,4,Satisfied
47,Male,2,1,3,3,1,3,7,1,4,Not Satisfied
63,Male,1,1,2,3,4,4,7,5,3,Not Satisfied
22,Female,2,4,1,4,3,3,7,4,1,Not Satisfied
29,Female,3,3,3,4,5,2,7,2,4,Not Satisfied
33,Male,4,3,3,5,3,3,10,1,3,Satisfied
43,Female,2,1,2,3,4,1,10,3,1,Not Satisfied
43,Female,1,5,1,1,5,3,8,5,2,Not Satisfied
65,Female,2,2,1,5,3,3,9,5,3,Not Satisfied
38,Female,5,5,5,1,1,4,9,1,5,Satisfied
56,Male,1,5,3,4,2,1,2,4,1,Not Satisfied
53,Male,3,1,1,5,2,1,7,3,4,Not Satisfied
50,Female,4,1,1,5,1,3,7,1,4,Not Satisfied
47,Male,2,1,4,2,2,4,4,4,5,Satisfied
54,Male,1,4,4,4,2,3,9,5,5,Not Satisfied
40,Male,5,5,1,4,1,3,8,2,4,Satisfied
27,Female,1,3,5,5,1,2,1,3,1,Not Satisfied
22,Female,5,2,1,4,3,2,2,3,3,Not Satisfied
53,Female,3,4,2,5,3,4,2,4,5,Satisfied
51,Male,4,3,3,2,1,5,8,1,5,Not Satisfied
48,Female,3,5,5,5,4,2,1,5,5,Satisfied
27,Female,2,1,2,4,2,5,4,4,2,Not Satisfied
36,Male,1,5,5,4,3,1,10,2,1,Not Satisfied
49,Female,5,2,2,5,2,2,5,2,1,Not Satisfied
18,Female,5,4,3,5,5,2,9,2,1,Satisfied
22,Male,1,4,3,5,1,4,7,4,1,Not Satisfied
62,Male,1,2,4,3,4,5,8,5,1,Not Satisfied
21,Male,2,3,2,4,5,2,9,3,4,Not Satisfied
33,Female,3,3,4,4,5,2,7,1,5,Satisfied
41,Female,5,4,2,3,5,4,5,3,4,Satisfied
33,Female,2,4,4,5,1,4,5,5,2,Satisfied
19,Male,3,1,3,2,3,5,10,3,3,Satisfied
45,Male,2,3,5,5,1,1,6,4,5,Not Satisfied
49,Female,5,2,4,5,3,1,5,2,2,Not Satisfied
44,Female,1,3,2,3,5,3,9,5,4,Satisfied
37,Male,1,1,2,4,5,2,3,5,3,Not Satisfied
41,Male,3,4,3,5,4,5,3,3,2,Not Satisfied
29,Male,4,4,2,4,3,2,7,4,3,Satisfied
52,Male,3,1,1,1,5,5,7,3,2,Not Satisfied
50,Female,4,2,5,4,2,5,6,3,4,Satisfied
50,Male,2,4,4,2,4,5,3,5,3,Not Satisfied
60,Female,2,5,5,2,1,2,7,3,2,Satisfied
54,Female,5,4,3,5,4,4,5,2,4,Satisfied
29,Female,4,5,4,4,2,2,7,3,5,Not Satisfied
20,Male,5,1,4,5,3,5,2,2,4,Satisfied
18,Male,1,1,1,3,1,3,6,5,4,Not Satisfied
50,Male,4,4,3,2,1,1,8,4,5,Satisfied
57,Male,3,3,2,5,3,5,1,2,4,Satisfied
27,Female,1,5,1,3,4,3,4,4,5,Satisfied
60,Male,1,2,1,5,5,4,1,4,5,Not Satisfied
61,Male,3,4,5,4,4,5,1,2,5,Satisfied
46,Female,1,2,5,4,2,3,10,5,2,Not Satisfied
30,Male,4,4,5,4,5,5,8,1,3,Satisfied
29,Female,5,3,1,4,4,2,7,4,2,Not Satisfied
48,Female,1,3,2,1,3,3,10,4,5,Not Satisfied
63,Female,4,3,4,3,2,2,1,5,3,Satisfied
19,Female,2,3,5,3,2,2,2,5,3,Not Satisfied
52,Female,4,1,2,4,2,3,4,3,5,Not Satisfied
40,Female,5,1,3,1,5,1,1,5,3,Not Satisfied
34,Female,4,5,5,4,1,3,3,4,3,Satisfied
43,Female,3,2,4,1,5,1,8,2,2,Satisfied
25,Male,5,4,3,4,4,5,8,1,3,Satisfied
46,Male,2,4,3,2,1,5,8,3,5,Satisfied
43,Male,3,1,4,2,4,3,6,2,1,Not Satisfied
27,Male,4,4,5,5,1,5,6,1,1,Satisfied
43,Female,5,1,1,4,5,4,5,1,1,Not Satisfied
51,Male,2,5,4,3,2,2,9,1,5,Not Satisfied
58,Female,3,2,4,5,3,2,4,2,1,Satisfied
24,Male,2,5,4,2,2,1,10,3,2,Satisfied
21,Male,4,3,3,4,5,5,7,3,5,Satisfied
62,Male,2,3,2,5,1,1,1,1,5,Not Satisfied
28,Female,1,3,1,4,2,2,9,2,5,Not Satisfied
46,Male,3,5,5,2,5,2,7,1,3,Satisfied
53,Female,2,4,5,5,4,5,10,5,3,Satisfied
42,Female,4,2,2,2,3,4,9,3,3,Satisfied
38,Male,4,3,4,1,2,4,7,4,4,Satisfied
53,Male,2,3,1,2,1,5,2,1,2,Not Satisfied
27,Male,4,3,5,4,4,5,6,5,5,Satisfied
54,Female,5,2,5,3,5,1,10,3,5,Satisfied
26,Male,5,3,4,2,3,5,4,2,3,Not Satisfied
41,Female,5,2,2,3,1,4,3,3,5,Satisfied
52,Female,1,3,1,1,5,5,2,2,5,Not Satisfied
52,Male,2,5,2,5,5,1,6,2,1,Not Satisfied
65,Male,1,5,2,5,2,1,8,1,5,Not Satisfied
53,Female,4,2,1,3,2,1,6,1,4,Not Satisfied
35,Female,1,5,1,5,1,1,9,3,3,Not Satisfied
56,Female,4,2,5,2,5,3,5,5,2,Satisfied
49,Male,4,5,5,3,2,5,2,3,2,Satisfied
41,Female,3,5,1,4,3,2,8,4,1,Not Satisfied
40,Male,5,2,3,2,3,5,9,2,2,Satisfied
49,Female,4,4,5,2,5,3,10,2,2,Satisfied
54,Female,3,5,3,2,2,1,4,1,3,Not Satisfied
29,Male,5,3,1,4,1,3,6,5,3,Not Satisfied
30,Female,4,4,5,1,1,4,10,1,4,Satisfied
40,Male,4,2,2,5,1,4,8,4,1,Not Satisfied
42,Male,1,4,1,3,3,5,9,3,2,Satisfied
52,Female,1,1,4,1,2,5,5,3,4,Not Satisfied
58,Male,5,1,3,3,2,2,6,5,1,Not Satisfied
47,Male,4,5,1,5,3,2,4,1,2,Not Satisfied
34,Female,2,5,1,4,1,4,5,1,2,Not Satisfied
37,Male,1,3,5,2,1,1,7,4,3,Satisfied
65,Male,5,4,5,2,5,3,9,3,5,Satisfied
42,Male,4,1,5,4,4,2,10,1,1,Not Satisfied
39,Female,4,5,4,1,2,2,6,5,2,Satisfied
30,Male,2,4,5,1,2,1,6,3,1,Satisfied
36,Female,5,5,1,3,2,1,8,4,4,Satisfied
53,Female,4,5,5,4,4,5,4,5,4,Satisfied
29,Male,1,1,2,1,5,3,3,2,5,Not Satisfied
58,Male,2,1,5,4,4,1,7,4,2,Not Satisfied
36,Male,5,5,4,5,1,2,5,5,3,Satisfied
29,Female,2,2,2,2,1,2,2,1,2,Not Satisfied
26,Male,1,5,1,2,2,4,2,2,1,Not Satisfied
24,Male,5,5,1,2,3,1,6,4,4,Satisfied
45,Male,2,3,3,4,2,5,8,1,1,Not Satisfied
31,Male,3,3,2,4,3,3,1,2,5,Not Satisfied
48,Male,1,3,3,3,4,5,6,3,4,Satisfied
36,Female,1,2,2,2,1,2,2,1,3,Not Satisfied
64,Female,1,2,2,3,3,5,2,5,4,Satisfied
33,Male,3,5,4,2,4,2,7,4,2,Not Satisfied
22,Male,3,3,3,3,1,2,10,2,2,Satisfied
52,Male,4,2,4,3,3,2,1,1,4,Not Satisfied
29,Male,2,1,2,5,2,2,6,3,5,Not Satisfied
42,Female,4,5,1,3,2,2,7,4,2,Satisfied
38,Male,2,4,2,4,2,4,8,4,2,Not Satisfied
53,Female,3,5,4,3,4,5,7,1,3,Satisfied
40,Female,3,4,3,2,2,4,6,3,4,Satisfied
33,Male,4,3,3,3,5,4,9,2,2,Not Satisfied
56,Female,5,4,4,1,1,1,3,1,5,Satisfied
62,Female,4,3,3,2,4,1,6,2,1,Not Satisfied
59,Female,2,1,5,1,2,1,4,4,4,Not Satisfied
56,Female,4,4,1,2,1,3,2,2,3,Not Satisfied
31,Male,1,5,1,4,3,1,1,3,2,Not Satisfied
48,Male,2,3,1,4,2,5,1,5,5,Not Satisfied
22,Female,2,5,3,4,1,4,10,3,4,Satisfied
52,Male,5,2,3,1,5,5,3,2,5,Satisfied
40,Male,3,3,2,5,3,1,4,1,5,Not Satisfied
46,Male,2,4,2,2,5,3,2,4,3,Satisfied
60,Male,3,3,1,4,1,3,1,5,4,Satisfied
28,Male,4,5,5,2,5,4,4,1,2,Satisfied
35,Female,1,1,2,1,1,5,7,1,3,Not Satisfied
64,Male,5,3,2,5,1,2,10,3,2,Not Satisfied
29,Male,3,4,3,1,5,5,6,2,1,Satisfied
26,Male,2,2,5,2,1,1,6,3,5,Not Satisfied
27,Male,3,1,1,5,2,2,9,2,1,Not Satisfied
61,Female,2,2,2,5,1,3,2,3,5,Not Satisfied
34,Female,3,3,5,1,4,4,4,1,3,Satisfied
55,Female,2,5,5,4,1,4,5,4,2,Satisfied
24,Female,4,5,1,2,4,3,1,2,2,Satisfied
63,Male,2,4,5,3,1,1,8,5,3,Not Satisfied
30,Female,2,5,5,3,1,3,8,5,4,Satisfied
57,Male,1,1,5,1,5,1,6,1,1,Not Satisfied
59,Male,2,5,2,2,2,2,5,3,1,Not Satisfied
26,Male,1,4,1,2,2,3,8,3,2,Not Satisfied
44,Male,5,3,5,1,3,1,3,1,2,Satisfied
19,Male,1,3,5,2,5,2,3,5,2,Not Satisfied
22,Female,4,5,2,4,5,3,2,5,3,Satisfied
46,Female,1,2,1,1,2,4,5,3,4,Not Satisfied
54,Female,5,3,3,4,5,3,3,2,1,Not Satisfied
55,Female,4,5,2,2,2,5,3,4,5,Satisfied
36,Male,3,4,1,1,5,3,6,2,3,Satisfied
25,Female,3,5,5,2,1,5,8,5,1,Not Satisfied
65,Male,1,3,1,1,2,2,2,2,4,Not Satisfied
62,Female,1,4,1,2,2,3,4,4,3,Not Satisfied
18,Male,5,5,1,4,4,2,7,2,1,Satisfied
39,Male,5,1,3,4,5,2,1,2,3,Satisfied
34,Female,2,4,1,2,5,1,1,2,1,Not Satisfied
24,Male,5,1,3,1,2,2,10,2,1,Not Satisfied
42,Male,2,2,5,3,1,2,7,1,4,Not Satisfied
62,Female,4,4,3,4,1,3,7,5,5,Satisfied
21,Male,1,1,5,4,1,3,1,4,4,Satisfied
53,Female,4,3,5,3,5,4,1,5,1,Satisfied
23,Female,5,3,3,2,4,1,4,1,3,Satisfied
48,Female,4,2,2,1,2,2,5,1,4,Not Satisfied
36,Male,4,4,4,2,3,1,5,1,5,Satisfied
61,Male,4,4,1,5,4,5,4,1,1,Not Satisfied
56,Male,5,4,4,4,3,2,8,2,4,Not Satisfied
44,Female,4,2,1,5,4,1,7,5,4,Not Satisfied
27,Male,2,4,1,4,1,4,9,3,4,Not Satisfied
43,Female,5,3,5,4,5,4,7,4,4,Satisfied
36,Female,4,1,1,5,3,2,10,1,3,Not Satisfied
56,Male,5,3,1,5,4,5,1,5,5,Satisfied
20,Female,3,3,3,2,5,4,7,1,5,Satisfied
62,Male,2,1,4,5,3,4,1,1,1,Not Satisfied
30,Male,4,3,3,2,2,5,7,1,2,Not Satisfied
45,Male,3,2,1,2,4,1,10,1,3,Not Satisfied
37,Male,3,1,5,2,2,4,8,1,1,Not Satisfied
45,Male,5,3,3,4,1,3,9,4,1,Satisfied
25,Female,3,5,3,4,2,4,3,5,4,Satisfied
58,Female,2,3,2,5,2,1,4,1,2,Not Satisfied
56,Female,2,2,1,4,4,1,4,1,2,Not Satisfied
18,Male,1,4,5,5,1,2,9,1,3,Not Satisfied
20,Male,2,3,3,4,2,3,7,1,2,Not Satisfied
30,Male,3,4,3,1,5,1,3,2,1,Not Satisfied
45,Female,2,5,5,1,3,5,10,2,2,Satisfied
42,Male,5,3,1,5,2,3,5,3,2,Satisfied
50,Female,1,1,2,4,1,3,7,1,5,Not Satisfied
55,Female,3,4,3,4,2,5,8,3,1,Not Satisfied
23,Male,1,5,2,2,3,4,1,4,2,Satisfied
61,Male,3,1,4,3,1,5,2,3,2,Not Satisfied
62,Female,5,1,1,5,4,5,7,5,4,Satisfied
49,Male,1,1,4,3,1,4,2,2,2,Not Satisfied
62,Female,4,1,4,3,4,4,7,2,2,Not Satisfied
64,Male,3,3,4,5,1,4,9,1,5,Satisfied
38,Male,4,3,1,4,3,4,2,1,1,Not Satisfied
33,Female,1,3,1,5,3,4,7,4,3,Not Satisfied
38,Male,4,5,5,3,1,5,4,4,1,Satisfied
28,Female,4,5,2,4,2,2,2,5,4,Satisfied
54,Male,1,5,2,1,3,2,7,1,1,Not Satisfied
53,Female,5,2,5,5,4,1,5,1,2,Satisfied
52,Female,4,5,5,5,4,2,1,4,4,Satisfied
36,Male,4,3,4,4,5,2,5,4,1,Not Satisfied
37,Female,5,3,5,1,4,5,3,4,4,Satisfied
35,Male,4,2,3,1,5,4,7,2,3,Satisfied
64,Male,4,2,2,4,1,4,6,3,1,Not Satisfied
58,Male,4,5,5,2,1,5,8,3,2,Satisfied
31,Female,2,4,3,5,1,2,5,1,4,Not Satisfied
32,Female,5,2,3,5,2,5,2,2,5,Not Satisfied
48,Male,4,1,3,3,2,1,9,4,4,Not Satisfied
18,Male,5,3,3,4,5,4,8,1,5,Satisfied
20,Female,3,1,4,3,4,3,6,2,2,Not Satisfied
33,Male,3,3,3,3,4,1,10,5,3,Not Satisfied
40,Male,4,3,4,1,1,1,7,2,5,Satisfied
28,Female,5,2,4,5,3,5,9,1,3,Not Satisfied
29,Male,5,2,3,3,2,2,7,3,4,Satisfied
27,Female,5,1,2,1,2,4,3,4,2,Satisfied
49,Male,2,3,3,4,1,3,6,5,5,Satisfied
33,Female,3,1,3,3,2,1,7,2,4,Satisfied
25,Male,5,4,3,5,1,3,2,1,1,Not Satisfied
55,Male,5,1,2,3,5,2,3,1,4,Satisfied
29,Female,2,5,1,4,4,2,4,4,3,Not Satisfied
41,Male,2,1,1,3,3,3,10,1,2,Not Satisfied
45,Female,5,5,4,5,4,4,6,1,2,Satisfied
25,Male,1,5,4,1,4,2,1,4,4,Satisfied
45,Female,5,5,2,5,5,3,9,5,1,Satisfied
53,Female,5,4,5,1,2,1,5,3,3,Satisfied
43,Female,2,1,1,2,3,3,7,3,4,Not Satisfied
25,Female,2,1,4,5,2,3,9,2,4,Not Satisfied
45,Male,5,4,1,5,4,5,9,5,2,Satisfied
45,Male,5,3,2,4,1,2,1,2,3,Not Satisfied
54,Female,5,2,2,3,4,4,1,3,1,Satisfied
58,Female,2,1,5,1,2,4,3,4,2,Not Satisfied
53,Female,5,2,5,1,4,5,6,1,4,Satisfied
44,Male,5,4,2,4,1,4,2,3,2,Satisfied
34,Male,4,3,4,4,5,3,10,5,2,Satisfied
26,Male,1,3,1,3,2,5,1,3,5,Not Satisfied
50,Male,3,3,3,3,4,1,1,5,2,Satisfied
37,Female,1,4,5,5,2,2,5,5,2,Not Satisfied
30,Female,4,5,3,2,5,2,4,5,3,Satisfied
45,Female,3,5,4,3,4,2,1,2,2,Satisfied
65,Male,5,2,5,4,4,3,4,4,1,Satisfied
46,Male,4,5,3,3,2,1,3,3,4,Satisfied
30,Male,5,5,4,1,2,5,2,4,3,Satisfied
63,Female,2,3,1,2,1,5,9,1,2,Not Satisfied
52,Female,4,3,4,5,5,2,1,3,1,Satisfied
23,Male,2,2,5,1,1,1,7,4,4,Not Satisfied
35,Female,4,1,2,1,4,1,4,4,3,Satisfied
22,Male,4,2,1,2,2,1,5,1,1,Not Satisfied
64,Male,2,2,3,5,4,4,10,5,2,Satisfied
42,Female,3,4,5,4,4,4,5,3,5,Satisfied
19,Male,1,4,2,5,3,2,1,3,5,Not Satisfied
27,Female,5,2,4,3,3,1,6,1,3,Not Satisfied
47,Male,4,2,2,1,4,1,9,5,1,Not Satisfied
62,Female,5,2,5,3,2,5,2,3,4,Satisfied
22,Female,2,5,5,4,4,5,7,3,1,Satisfied
50,Female,5,4,2,3,3,2,6,3,5,Satisfied
18,Male,2,2,4,5,2,1,5,5,3,Not Satisfied
35,Male,5,3,2,3,4,2,4,1,2,Not Satisfied
49,Female,1,3,5,4,5,5,4,3,1,Not Satisfied
64,Female,1,5,5,4,5,5,6,4,5,Satisfied
28,Male,1,5,3,4,4,4,4,5,4,Satisfied
38,Male,1,1,3,5,2,2,5,2,3,Not Satisfied
43,Male,1,1,1,4,4,2,6,1,2,Not Satisfied
42,Female,1,1,5,1,4,1,5,4,1,Not Satisfied
39,Male,2,5,3,4,3,1,7,3,4,Not Satisfied
44,Male,4,5,2,3,5,4,9,2,2,Satisfied
30,Female,5,5,4,3,3,3,10,1,5,Satisfied
50,Male,1,3,2,3,3,3,7,5,5,Not Satisfied
51,Male,2,5,4,5,4,3,7,2,4,Satisfied
58,Male,2,3,3,3,3,2,4,2,5,Satisfied
52,Female,2,1,1,5,5,2,1,4,3,Not Satisfied
18,Female,4,1,2,5,3,5,8,1,4,Not Satisfied
38,Female,5,1,2,4,5,2,4,4,5,Satisfied
65,Female,4,2,2,1,3,2,1,4,1,Not Satisfied
23,Female,3,2,4,4,5,2,5,3,5,Satisfied
45,Female,2,4,3,4,3,4,8,5,3,Not Satisfied
34,Female,3,4,2,5,3,2,4,2,2,Not Satisfied
22,Male,1,4,2,5,2,1,8,1,2,Not Satisfied
48,Male,1,2,1,3,5,1,8,5,5,Not Satisfied
22,Female,4,2,1,3,5,5,3,5,2,Satisfied
55,Male,5,4,3,4,5,4,9,1,5,Satisfied
20,Male,3,4,3,2,1,1,3,5,3,Not Satisfied
40,Female,5,5,5,2,3,4,1,3,2,Satisfied
54,Male,4,4,1,3,5,4,2,5,1,Satisfied
54,Male,1,5,5,2,1,5,6,3,5,Satisfied
27,Male,5,3,4,3,2,4,10,2,2,Satisfied
27,Male,5,2,5,5,5,2,2,2,3,Satisfied
36,Male,1,4,2,4,5,4,6,4,3,Satisfied
34,Female,3,2,5,1,1,5,1,3,1,Satisfied
38,Female,1,2,3,4,3,5,1,2,3,Not Satisfied
31,Female,5,2,4,3,2,5,5,5,3,Satisfied
26,Male,3,3,2,3,5,1,10,1,2,Not Satisfied
63,Female,3,1,5,4,3,2,9,1,5,Satisfied
18,Male,1,4,4,3,2,1,8,3,4,Satisfied
62,Male,5,1,4,2,4,3,3,4,3,Satisfied
30,Male,4,1,2,2,4,2,3,5,3,Satisfied
21,Male,5,1,5,3,2,4,1,3,4,Satisfied
18,Female,2,2,4,3,1,5,3,1,3,Not Satisfied
57,Female,4,5,4,2,2,3,1,3,2,Satisfied
49,Male,3,2,1,3,2,2,8,5,2,Not Satisfied
51,Female,4,2,4,3,1,1,1,2,4,Not Satisfied
45,Male,3,1,1,4,1,5,5,5,3,Not Satisfied
48,Female,3,2,5,1,3,1,9,2,3,Not Satisfied
25,Female,4,1,5,2,3,2,7,2,5,Satisfied
56,Male,3,5,5,4,1,2,4,2,3,Satisfied
43,Female,3,4,3,1,4,3,9,3,2,Satisfied
51,Male,2,1,5,3,4,4,9,1,1,Not Satisfied
20,Female,5,5,4,3,2,1,2,3,1,Not Satisfied
29,Male,5,4,2,4,5,3,10,1,1,Not Satisfied
18,Male,2,3,1,3,2,5,10,5,1,Not Satisfied
61,Female,4,1,3,5,2,4,6,4,3,Not Satisfied
22,Female,1,1,5,4,5,3,4,5,3,Satisfied
47,Male,1,3,5,1,1,1,8,3,5,Not Satisfied
47,Female,1,3,2,4,4,2,7,3,3,Not Satisfied
34,Female,2,1,2,2,2,5,7,1,1,Not Satisfied
65,Male,2,3,3,4,5,1,10,3,4,Satisfied
64,Male,3,2,1,3,3,4,9,2,4,Satisfied
40,Female,1,4,5,3,2,4,5,3,2,Satisfied
32,Male,4,4,3,5,4,2,6,1,2,Satisfied
54,Male,4,4,4,5,1,2,1,1,3,Not Satisfied
38,Male,1,2,4,5,2,5,6,2,4,Not Satisfied
31,Female,1,3,3,1,2,5,2,1,1,Satisfied
19,Female,1,5,5,5,5,2,6,4,1,Not Satisfied
28,Male,2,3,3,1,3,2,9,5,1,Satisfied
56,Female,2,1,5,5,3,4,8,3,3,Satisfied
55,Male,2,4,2,1,1,2,9,4,3,Not Satisfied
51,Female,5,3,3,4,4,3,10,3,5,Satisfied
55,Male,4,5,5,4,1,1,8,4,1,Satisfied
51,Male,4,1,3,3,2,2,3,3,1,Satisfied
35,Female,3,2,3,1,2,5,8,2,3,Not Satisfied
47,Male,2,2,5,2,3,3,6,1,3,Not Satisfied
32,Female,5,5,5,3,4,5,6,1,5,Satisfied
44,Female,5,1,1,4,5,3,6,2,5,Satisfied
51,Male,4,4,3,1,4,2,3,4,2,Satisfied
55,Male,2,3,4,5,2,1,10,5,4,Not Satisfied
50,Female,3,1,3,2,5,5,1,4,1,Not Satisfied
41,Male,2,2,3,4,4,3,4,1,1,Not Satisfied
32,Male,1,5,5,3,4,4,10,5,5,Satisfied
47,Male,2,5,3,1,5,2,6,3,5,Satisfied
59,Male,1,3,3,2,2,1,10,5,2,Not Satisfied
34,Male,1,5,4,1,4,2,2,4,4,Satisfied
22,Female,3,5,5,5,5,4,7,2,2,Satisfied
46,Female,4,1,3,3,2,1,7,3,4,Satisfied
21,Male,2,4,2,1,5,4,4,4,1,Satisfied
27,Male,1,3,1,4,5,2,4,3,2,Not Satisfied
34,Male,2,1,4,3,4,3,1,5,5,Not Satisfied
27,Female,4,4,3,4,2,2,2,1,2,Not Satisfied
34,Male,4,1,2,1,4,2,9,4,2,Satisfied
37,Female,5,1,3,3,1,2,10,2,1,Not Satisfied
41,Female,4,5,3,4,1,5,8,5,5,Satisfied
22,Female,3,4,5,5,2,4,8,4,5,Satisfied
51,Male,1,3,5,5,5,4,9,2,3,Satisfied
23,Female,5,3,5,1,4,4,7,4,3,Satisfied
19,Male,3,4,2,3,4,5,9,5,3,Satisfied
30,Female,2,5,3,2,2,3,10,4,1,Not Satisfied
60,Male,1,2,1,3,2,2,2,3,2,Not Satisfied
60,Female,4,1,4,5,1,3,6,5,5,Not Satisfied
65,Male,1,5,5,4,3,5,3,4,5,Not Satisfied
28,Female,2,4,5,2,2,4,6,1,2,Satisfied
64,Male,5,1,3,1,3,2,3,4,5,Satisfied
40,Male,5,3,3,2,2,1,8,3,2,Satisfied
33,Male,5,2,2,1,5,1,4,2,1,Satisfied
48,Male,4,3,2,2,5,3,10,2,1,Not Satisfied
28,Female,3,4,5,1,1,4,6,2,1,Satisfied
33,Female,3,1,3,1,1,1,9,1,2,Not Satisfied
25,Male,1,4,1,2,3,3,2,3,2,Not Satisfied
21,Female,4,1,4,2,2,5,2,5,4,Satisfied
57,Male,5,5,3,1,4,3,7,2,5,Satisfied
21,Male,5,2,3,5,1,3,2,3,5,Not Satisfied
42,Female,2,5,2,2,4,3,2,4,4,Satisfied
20,Male,2,5,4,3,4,2,4,1,4,Not Satisfied
49,Male,5,4,5,4,2,3,9,3,1,Satisfied
20,Female,5,2,3,1,3,3,8,3,4,Satisfied
44,Male,4,1,5,1,2,2,2,5,2,Satisfied
46,Male,3,1,3,4,1,2,8,3,3,Not Satisfied
49,Male,2,3,5,5,4,5,4,5,2,Satisfied
36,Male,3,1,4,4,2,4,2,1,4,Satisfied
38,Female,4,4,2,2,2,1,10,1,5,Not Satisfied
22,Female,5,5,4,4,2,1,7,4,2,Satisfied
35,Female,3,5,1,1,1,3,6,5,5,Satisfied
45,Male,5,5,2,4,3,5,10,5,2,Satisfied
59,Male,5,2,4,3,2,3,5,2,5,Satisfied
39,Female,1,1,1,2,1,1,1,2,2,Not Satisfied
38,Male,3,4,3,4,4,2,2,4,5,Satisfied
23,Male,3,2,3,1,5,4,8,1,3,Not Satisfied
18,Male,5,3,5,2,1,5,1,2,1,Satisfied
22,Male,4,4,2,1,5,2,3,3,2,Not Satisfied
58,Female,1,4,3,5,2,4,2,1,3,Not Satisfied
29,Female,5,4,2,3,2,5,5,3,1,Satisfied
43,Female,2,5,3,5,1,5,4,5,2,Not Satisfied
63,Male,2,4,5,3,5,1,7,1,3,Satisfied
51,Female,1,1,4,4,2,2,5,4,3,Not Satisfied
31,Female,4,4,5,2,4,5,8,5,3,Satisfied
43,Male,5,5,1,4,3,5,4,5,4,Satisfied
62,Male,3,4,3,3,3,4,6,3,5,Satisfied
44,Female,1,3,1,3,2,1,4,5,1,Not Satisfied
26,Female,4,3,1,3,5,3,2,2,5,Satisfied
43,Female,3,5,2,1,2,1,1,1,5,Satisfied
64,Female,2,1,3,2,5,3,1,2,5,Not Satisfied
39,Male,2,1,1,4,4,2,8,3,3,Not Satisfied
64,Female,3,2,4,4,5,2,4,3,5,Not Satisfied
47,Female,1,5,1,5,2,5,5,1,4,Not Satisfied
60,Male,2,4,4,3,4,2,8,5,2,Satisfied
65,Female,5,5,2,3,1,5,7,4,3,Satisfied
34,Male,3,2,1,3,3,1,8,3,1,Not Satisfied
43,Male,3,5,5,4,2,2,8,1,2,Satisfied
53,Male,2,5,2,5,2,1,6,4,2,Not Satisfied
18,Female,1,2,4,1,2,1,10,5,2,Satisfied
25,Female,5,1,2,2,4,2,2,3,5,Satisfied
52,Male,1,4,1,1,1,1,6,1,5,Not Satisfied
32,Female,4,2,3,4,5,2,1,1,3,Satisfied
64,Female,4,3,3,3,1,2,1,1,5,Not Satisfied
39,Male,2,1,4,2,4,2,3,3,5,Not Satisfied
31,Male,2,3,4,4,2,3,3,4,5,Satisfied
43,Female,2,1,3,4,3,1,5,1,3,Not Satisfied
45,Male,4,4,4,4,2,4,1,5,3,Satisfied
40,Female,1,4,2,2,5,2,10,1,4,Not Satisfied
31,Female,1,5,5,2,3,1,6,4,4,Not Satisfied
41,Female,2,3,5,5,2,5,7,3,4,Not Satisfied
19,Female,5,1,2,5,3,2,10,1,4,Not Satisfied
62,Male,1,4,5,1,1,2,3,1,2,Not Satisfied
43,Male,4,2,1,2,4,4,4,5,2,Not Satisfied
31,Male,3,4,2,2,2,3,10,5,4,Satisfied
24,Male,3,2,4,2,5,3,10,1,4,Satisfied
20,Female,3,1,2,5,1,2,10,1,1,Not Satisfied
64,Female,5,4,3,4,2,1,10,5,2,Not Satisfied
40,Male,2,4,4,3,1,5,10,4,1,Satisfied
63,Female,4,1,3,5,5,5,3,2,1,Not Satisfied
60,Female,5,4,4,2,2,1,1,2,5,Satisfied
64,Female,4,2,5,5,5,2,8,1,3,Not Satisfied
62,Male,4,4,2,1,3,5,10,5,2,Satisfied
35,Male,2,3,1,2,5,3,10,3,4,Satisfied
55,Male,3,5,4,1,3,1,2,3,4,Satisfied
52,Female,2,2,4,2,2,4,1,2,3,Not Satisfied
32,Male,5,3,3,5,3,2,8,4,2,Not Satisfied
42,Male,5,1,5,4,2,1,7,2,4,Satisfied
54,Male,5,2,3,3,2,5,7,1,4,Satisfied
45,Male,2,5,3,1,4,2,4,4,5,Satisfied
27,Male,4,5,5,5,2,3,9,3,1,Not Satisfied
56,Male,4,1,1,4,3,2,6,5,4,Not Satisfied
34,Female,1,1,3,5,4,2,2,5,2,Satisfied
